등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000452213,744-코215ㅂ,(미리엄 웹스터) 보캐뷸러리 빌더 : 읽기만 해도 기억되는 스토리텔링 영단어,메리 우드 코녹 지음 ; 크레센도 번역가그룹 옮김,콘체르토,2020,"26,000"
BRP000452214,340-콘223ㅈ,"정치 이야기, 뭔데 이렇게 재밌어?",콘덱스정보연구소 편저 ; 이은정 옮김 ; 구시다 세이이치 감수,아름다운사람들,2020,"13,500"
BRP000452215,843.6-스31ㅅ,손힐=Thornhill,팸 스마이 지음 ; 고정아 옮김,밝은미래,2018,"25,000"
BRP000452216,231-정66ㅋ,칼뱅주의 5대 교리 완전정복 : 도르트 신경의 관점에서 이해하고 적용하기,정요석 지음,세움북스,2019,"13,000"
BRP000452217,233.24-김79ㄷ,다윗 언약 : 인류의 헌장,김진수 지음,부흥과개혁사,2017,"13,000"
BRP000452218,238-정51ㅊ,천주교는 개신교와 무엇이 다른가?,정상운 외 지음,킹덤북스,2019,"15,000"
BRP000452219,327.87-설817ㅂ,(왕초보도 쉽게 낙찰받고 명도하는) 부동산 경매 처음공부,설춘환 지음,이레미디어,2019,"17,000"
BRP000452220,223.53-팔813,"(산스크리트 원전 완역)팔천송반야경 : 붓다의 사상적 혁명, 대승경전의 시작과 그 뿌리",전순환 번역,불광출판사,2019,"35,000"
BRP000452221,320.912-미62ㅈ,중국발 세계 경제 위기가 시작됐다,"미야자키 마사히로,다무라 히데오 지음 ; 박재영 옮김",센시오,2020,"17,000"
BRP000452222,833.6-히11ㅂ=2,분신,히가시노 게이고 저 ; 김난주 옮김,재인,2019,"18,800"
BRP000452223,813.7-유65ㅈ-1,조선후궁실록 : 호란기연. 1,유오디아 지음,위즈덤하우스미디어그룹,2020,"16,000"
BRP000452224,813.7-유65ㅈ-2,조선후궁실록 : 호란기연. 2,유오디아 지음,위즈덤하우스미디어그룹,2020,"16,000"
BRP000452225,662-김66ㅅ,(유튜버 데르센의) 사진촬영&라이트룸 : Adobe lightroom classic,데르센 김용만 지음,BM성안당,2018,"28,000"
BRP000452226,662-권91ㅍ-1,"(권학봉의) 프로페셔널 사진조명 강의. Book1, 스튜디오 제품 이론/실습 & 장비",권학봉 지음,황금부엉이,2018,"45,000"
BRP000452227,818-양77ㅇ,양준일 maybe : 너와 나의 암호말,"양준일,아이스크림 공저",Mobidicbooks,2020,"18,000"
BRP000452228,833.6-이215ㅎ,해러스먼트 게임 : 이노우에 유미코 장편소설,이노우에 유미코 지음 ; 김해용 옮김,위즈덤하우스 미디어그룹,2019,"13,800"
BRP000452229,813.7-이67ㄴ,나의 페미니즘 동아리 : 이유주 장편소설,이유주 지음,열다북스,2019,"13,000"
BRP000452230,802-정98ㄴ,나쁜 사람에게 지지 않으려고 쓴다,정희진 지음,교양인,2020,"14,000"
BRP000452231,813.7-굿41,"굿바이 마이 달링, 독거미 여인의 키스",김재희 외 [공] 지음,바람꽃,2019,"13,800"
BRP000452232,813.7-어238,어른은 권력이다 : 2018 올해의 추리소설,김범석 외 지음 ; 한국추리작가협회 엮음,황금펜클럽,2018,"11,000"
BRP000452233,833.6-요825ㄹ,루팡의 딸=Daughter of Lupin,요코제키 다이 지음 ; 최재호 옮김,Book Plaza,2020,"15,000"
BRP000452234,327.87-김77ㅂ,부동산 투자 인사이트=Real estate investment insight,김준영 지음,매일경제신문사,2019,"17,000"
BRP000452235,813.7-성79ㅇ-1,오늘부터 주인공 : 성지혜 장편소설. 1,성지혜 지음,페리윙클,2020,"10,800"
BRP000452236,813.7-성79ㅇ-2,오늘부터 주인공 : 성지혜 장편소설. 2,성지혜 지음,페리윙클,2020,"10,800"
BRP000452237,813.7-전67ㅅ-1,성공하는 기사의 일곱가지 습관 : 전유림 장편소설. 1,전유림 지음,Muse ,2018,"12,500"
BRP000452238,813.7-전67ㅅ-2,성공하는 기사의 일곱가지 습관 : 전유림 장편소설. 2,전유림 지음,Muse ,2018,"12,500"
BRP000452239,833.6-키51ㅎ-3,하카타 돈코츠 라멘즈. 3,키사키 치아키 지음 ; 박춘상 옮김,디앤씨미디어,2018,"12,000"
BRP000452240,833.6-키51ㅎ-4,하카타 돈코츠 라멘즈. 4,키사키 치아키 지음 ; 박춘상 옮김,디앤씨미디어,2018,"12,000"
